id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
OSR1	16	0.83873	0.8508	0.999599	1105	1	0.0060276	0.62069	0.75386	0.991682	1016	2	0.0060276
BSX	16	0.14325	0.31356	0.999599	399	4	0.024258	0.62286	0.7553	0.991682	1017	2	0.024258
CENPB	16	0.046799	0.14091	0.956852	198	4	-0.030186	0.62434	0.75628	0.991682	1018	1	-0.030186
XBP1	16	0.71793	0.7913	0.999599	1018	1	-0.0010919	0.62494	0.75668	0.991682	1019	2	-0.0010919
ZBTB44	16	0.38272	0.57522	0.999599	726	2	-0.0094241	0.62552	0.75707	0.991682	1020	2	-0.0094241
CEBPA	16	0.0041775	0.019377	0.522791	47	4	-0.019812	0.62614	0.75749	0.991682	1021	2	-0.019812
HMX1	16	0.091487	0.22485	0.982102	307	2	-0.035665	0.6267	0.75786	0.991682	1022	1	-0.035665
TBX6	16	0.4619	0.6271	0.999599	786	1	0.028708	0.627	0.75805	0.991682	1023	1	0.028708
KLF17	16	0.2782	0.47	0.999599	596	2	-0.015583	0.62905	0.75943	0.991682	1024	1	-0.015583
GZMB	16	0.04037	0.12471	0.920665	183	5	-0.047153	0.62992	0.76002	0.991682	1025	1	-0.047153
